Headline,Date,Author,Vertical,Description
"Rahul Gandhi slams PM Modi over high inflation, blames him for ‘tukde tukde’ situation…","Jan 15, 2020",Reporter,DELHIFEATURED,NEW DELHI: Former Congress chief Rahul Gandhi here on Tuesday termed the rising inflation and unemployment as signs of the…
"Broadband, 2G Internet partially restored in Jammu and Kashmir","Jan 15, 2020",Reporter,FEATUREDNATIONAL,SRINAGAR: The Jammu and Kashmir administration on Tuesday evening allowed mobile Internet in parts of Jammu region and broadband…
Nadda likely to become BJP chief next week as saffron party gears up for organisational polls,"Jan 14, 2020",Reporter,DELHI,"NEW DELHI: Moving forward on holding elections for the post of BJP chief, the party has asked the eligible delegates to reach the…"
"Seat sharing, CM face haunt NDA and Opposition in Bihar ahead of Assembly polls","Jan 14, 2020",Reporter,OTHER STATES,PATNA: Infighting in both the Nitish Kumar-led National Democratic Alliance (NDA) and the Tejashwi Yadav-led Grand Alliance (GA)…
"JNU violence: HC asks WhatsApp, Google to provide information sought by cops","Jan 14, 2020",Reporter,FEATUREDNATIONAL,NEW DELHI: The Delhi High Court on Tuesday asked WhatsApp and Google to preserve and provide information related to the JNU…
"New Tata Tiago, Tigor & Nexon BS6 Bookings Open For Rs 11,000","Jan 14, 2020",Reporter,AUTOMOTIVE,Mumbai based Tata Motors has just announced that it has opened bookings for its new products portfolio. The company has opened…
"Bajaj Chetak Electric Scooter Launch Live Updates: Design, Features","Jan 14, 2020",Reporter,AUTOMOTIVE,Bajaj Auto is all set to launch the Chetak electric scooter in the Indian market. The new Bajaj Chetak Electric scooter is offered…
Apple Reportedly Working On MacBook Pro Mode To Boost Gaming Performance,"Jan 14, 2020",Reporter,TECHNOLOGY,Apple's focus on consumer market was renewed when the company launched the 16-inch MacBook Pro and the new Mac Pro. The portable…
MediaTek Helio G70 Mid-Tier Gaming Chipset Launched,"Jan 14, 2020",Reporter,TECHNOLOGY,"After launching a couple of 5G capable chipsets, MediaTek has launched yet another mid-tier gaming chipset for smartphones -- the…"
Simple & Effective Crunches To Lose Belly Fat,"Jan 14, 2020",Reporter,LIFESTYLE,"Lack of exercise and a sedimentary lifestyle, along with various other factors contribute towards the development of fat deposits…"
Chhapaak Fourth Day Box Office Collection: Deepika Padukone’s Film Crosses 20 Crore Mark,"Jan 14, 2020",Reporter,ENTERTAINMENT,Deepika Padukone's Chhapaak hit the theatrical screens recently and the actress received rave reviews for her impressive…
Tanhaji: The Unsung Warrior Fourth Day Box Office Collection,"Jan 14, 2020",Reporter,ENTERTAINMENT,"Ajay Devgn's historical film, Tanhaji: The Unsung Warrior which released on Friday (January 10, 2020) continues to impress at the…"
Barcelona sack Valverde and appoint Setien as successor,"Jan 14, 2020",Reporter,SPORTS,"Barcelona, January 14: La Liga champions Barcelona have sacked their coach Ernesto Valverde and appointed Quique Setien as his…"
"Dakar Rally 2020: Serradori wins stage 8, Alonso second, Sainz leads","Jan 14, 2020",Reporter,SPORTS,"Bengaluru, January 14: Spain's former Formula One world champion Fernando Alonso registered his best result of the Dakar 2020…"
Barcelona sack coach Ernesto Valverde and appoint Quique Setien as successor,"Jan 14, 2020",Reporter,SPORTS,"MADRID: Spanish champions Barcelona have sacked their coach Ernesto Valverde and appointed Quique Setien as his replacement, the…"
"CCI to probe e-tailers Amazon, Flipkart over alleged deep discounts","Jan 14, 2020",Reporter,BUSINESS,"NEW DELHI: The Competition Commission of India (CCI) has announced a probe against two major e-tailers, Flipkart and Amazon for…"
Staff of Air India’s ground-handling arm likely to get December salaries by next week,"Jan 14, 2020",Reporter,BUSINESS,"NEW DELHI; Employees of the ground handling arm of debt-ridden Air India, AIATSL, are likely to get their salaries by next week,…"
"Selling 5 lakh units in four years, Brezza outperforms all","Jan 14, 2020",Reporter,BUSINESS,"The country’s largest carmaker Maruti Suzuki India (MSIL), in its efforts to become a serious utility vehicle player, completed a…"
Situation in Kashmir violates human rights: US Congresswoman Debbie Dingell,"Jan 14, 2020",Reporter,WORLD,"WASHINGTON: The situation in Kashmir violates human rights, a US Congresswoman has said, as she joined as cosponsors to a…"
‘What is happening is sad’: Microsoft CEO Satya Nadella on CAA,"Jan 14, 2020",Reporter,WORLD,NEW YORK: Microsoft's Indian-origin CEO Satya Nadella on Monday voiced concern over the contentious Citizenship Amendment Act…
"If unemployment rises and incomes decline, youth may explode in anger: Chidambaram","Jan 14, 2020",Reporter,DELHI,"NEW DELHI: Senior Congress leader P Chidambaram on Tuesday attacked the Modi government over the state of the economy, saying if…"
Will leave politics if a single person over five lakh is given citizenship in Assam: Sarma,"Jan 14, 2020",Reporter,NATIONAL,GUWAHATI: Assam Finance Minister Himanta Biswa Sarma on Monday said he will leave politics if a single person over five lakh is…
"Jammu and Kashmir deputy SP Davinder Singh suspended, had sheltered terrorists at his residence","Jan 14, 2020",Reporter,NATIONAL,SRINAGAR: Senior Jammu and Kashmir police officer Davinder Singh was suspended on Monday even as it emerged that he had sheltered…
JNU row: Baba Ramdev wants Deepika Padukone to hire him as advisor,"Jan 14, 2020",Reporter,NATIONAL,INDORE: Yoga guru Ramdev on Monday said Deepika Padukone should get herself acquainted with socio-political issues in the country…
"Raisina Dialogue to begin on Tuesday, PM Modi to attend inaugural session","Jan 14, 2020",Reporter,DELHI,NEW DELHI: India's flagship global conference on geopolitics and geo-economics Raisina Dialogue will begin on Tuesday with Prime…
"Mamata Banerjee slams Bengal BJP chief Dilip Ghosh, terms his ‘shoot like dogs’ remark shameful","Jan 14, 2020",Reporter,OTHER STATES,KOLKATA: West Bengal Chief Minister Mamata Banerjee on Monday slammed state BJP president Dilip Ghosh and said that he made…
"Queen agrees to let Prince Harry, Meghan move part-time to Canada","Jan 14, 2020",Reporter,WORLD,"LONDON: Queen Elizabeth II agreed Monday to grant Prince Harry and his wife Meghan their wish for a more independent life,…"
"We don’t feel secure, won’t teach till V-C sacked: JNUTA tells HRD Ministry","Jan 14, 2020",Reporter,DELHI,"NEW DELHI: Despite an “advisory” by Jawaharlal Nehru University administration to resume their academic activities, the JNU…"
BJP government handing over country’s coffers to few capitalists: Priyanka Gandhi,"Jan 14, 2020",Reporter,DELHIFEATURED,NEW DELHI: Congress leader Priyanka Gandhi Vadra on Monday attacked the Centre over a media report which claimed that it could ask…
Microsoft ends free Windows 7 security updates on Tuesday,"Jan 14, 2020",Reporter,WORLD,"NEW YORK: If you're still using Microsoft's Windows 7, your computer might soon be at risk. Microsoft will stop providing free…"
Gandhiji would have opposed Modi’s ‘communal’ decisions: Yashwant Sinha,"Jan 14, 2020",Reporter,NATIONAL,VADODARA: The Citizenship (Amendment) Act (CAA) and the proposed National Register of Citizens (NRC) exercise are aimed at…
Pragya Thakur alleges she received envelopes with chemicals in post,"Jan 14, 2020",Reporter,FEATUREDNATIONAL,"BHOPAL: Controversial BJP MP Sadhvi Pragya Singh Thakur on Monday night lodged a complaint with police, alleging that she received…"
Will bury alive those raising anti-Modi slogans: UP Minister Raghuraj Singh,"Jan 13, 2020",Reporter,FEATUREDNATIONAL,ALIGARH: Uttar Pradesh Minister Raghuraj Singh has courted a major controversy when he said that people who raise slogans against…
Royal Enfield’s 500cc Range Discontinued,"Jan 13, 2020",Reporter,AUTOMOTIVE,"Chennai based motorcycle manufacturer, Royal Enfield, has officially discontinued the Bullet 500, the Classic, and the Thunderbird…"
Tata Altroz Starts Arriving At Dealerships Ahead Of India-Launch,"Jan 13, 2020",Reporter,AUTOMOTIVE,Tata Motors is all set to introduce the Altroz premium hatchback in the Indian market on the 22nd of January. Ahead of its launch…
Alleged Xiaomi Mi 10 Pro Leaked With Huawei Mate 40 Style Camera Unit,"Jan 13, 2020",Reporter,TECHNOLOGY,"At the Qualcomm Tech Summit 2019, Xiaomi officially confirmed that the Mi 10 will be one of the first smartphones to launch with…"
Alleged Poco F2 Trademark Filing Confirms Existence,"Jan 13, 2020",Reporter,TECHNOLOGY,Xiaomi's sub-brand Poco debuted back in 2018 with the launch of the Poco F1. This smartphone is quite popular and a bestseller in…
Beauty Products You Should Avoid During The Winter Season,"Jan 13, 2020",Reporter,LIFESTYLE,The harsh winter weather can compromise your skin barrier leaving your skin dry and irritated. Even if you don't have a naturally…
Tanhaji: The Unsung Warrior Third Day Box Office Collections,"Jan 13, 2020",Reporter,ENTERTAINMENT,"Ajay Devgn's historical film, Tanhaji: The Unsung Warrior is having a glorious run at the box office. The movie is based on the…"
"Lohri 2020: Choti Sarrdaarni’s Nimrit Ahluwalia, Avinesh Rekhi & Others Share Their Lohri Plans","Jan 13, 2020",Reporter,ENTERTAINMENT,"Lohri, the harvest festival, is celebrated today (January 13) in India. On this occasion, Choti Sarrdaarni actors - Nimrit Kaur,…"
Jharkhand BJP state unit set for overhaul after Assembly polls defeat,"Jan 13, 2020",Reporter,NATIONAL,"RANCHI: Amidst speculations over JVM (P) Chief Babulal Marandi joining the BJP, the saffron party is gearing up for an…"
Punjab to counter drone-aided smuggling from neighbouring Pakistan,"Jan 13, 2020",Reporter,NATIONAL,CHANDIGARH: Punjab Police has constituted five teams to keep an eye on smuggling of drugs and weapons by drones from neighbouring…
Special prosecutors needed for POCSO cases: Supreme Court,"Jan 13, 2020",Reporter,NATIONAL,"NEW DELHI: Public prosecutors must be trained to deal with child victims and witnesses in sexual harassment cases, the Supreme…"
States can’t refuse implementing Citizenship Act: Union Minister Mukhtar Abbas Naqvi,"Jan 13, 2020",Reporter,NATIONAL,HYDERABAD: Union Minority Affairs Minister Mukhtar Abbas Naqvi on Sunday made it clear that the Central government would not be…
"PM should select five critics, hold televised discussion on CAA with them: Chidambaram","Jan 13, 2020",Reporter,DELHI,"NEW DELHI: Asserting that Prime Minister Narendra Modi is not talking to his critics, senior Congress leader P Chidambaram on…"
Those involved in damaging public property will be shot like in UP: Dilip Ghosh,"Jan 13, 2020",Reporter,OTHER STATES,KOLKATA: BJP state president Dilip Ghosh courted controversy on Sunday by threatening to shoot and kill those involved in damaging…
"Is Constitution mere administrative manual, introspect and audit: Eminent personalities appeal","Jan 13, 2020",Reporter,NATIONAL,"NEW DELHI: Eight eminent personalities, including former Supreme Court judge J Chelameswar and ex-Chief Election Commissioner S Y…"
"India to acquire 200 fighter jets, including 83 LCA Tejas for Air Force: Defence Secretary","Jan 13, 2020",Reporter,OTHER STATES,KOLKATA: The government is in the process of acquiring around 200 aircraft to cope with the depleting aerial inventories of the…
"Boeing employees’ emails bemoan culture of arrogance, casual approach to safety","Jan 13, 2020",Reporter,WORLD,"NEW YORK: Contempt for regulators, airlines and their own colleagues coupled with a casual approach to safety: a series of emails…"
Gautam Gambhir to pick selectors for Cricket Advisory Committee,"Jan 13, 2020",Reporter,SPORTS,"CHENNAI: After much deliberation, the BCCI is set to form the Cricket Advisory Committee. It will include Madan Lal, Gautam…"
"After good year, Raynier Fernandes hopes to continue meteoric rise","Jan 13, 2020",Reporter,SPORTS,CHENNAI: 2019 was a landmark year for Raynier Fernandes. Nailing down a starting spot in your very first season for your Indian…
"IEA slams India’s natural gas pricing policy, says it cuts producers’ incentives to raise supply","Jan 13, 2020",Reporter,BUSINESS,"The International Energy Agency (IEA) has slammed India’s natural gas pricing policy, saying linking domestic production to very…"
Rs 4.7 trillion farm loans waived in 10 years,"Jan 13, 2020",Reporter,BUSINESS,"Various states have written off Rs 4.7 lakh crore worth of farm loans in the last 10 years, though this is still below the total…"
"Opposition divided over CAA? After Trinamool, BSP likely to skip Monday’s meeting","Jan 13, 2020",Reporter,DELHI,NEW DELHI: The Bahujan Samaj Party (BSP) is likely to skip a meeting of opposition parties convened on Monday to discuss the…
"Sensex hits all-time record intra-day high, crosses 41800-mark","Jan 13, 2020",Reporter,BUSINESS,MUMBAI: Equity benchmarks Sensex and Nifty hit their record intra-day highs in early trade on Monday tracking gains in…
"Co-founder of Myntra, now CEO of Cure.Fit, decodes the success mantra in new book","Jan 13, 2020",Reporter,OTHER STATES,"BENGALURU: When a book is written by a successful entrepreneur like Mukesh Bansal, it’s perhaps natural to assume that it would…"
Iran agrees de-escalation ‘only solution’ to solve crisis with US,"Jan 13, 2020",Reporter,FEATUREDWORLD,TEHRAN: Iran signalled Sunday it favours a  de-escalation after 10 days of heightened tensions with the United States during which…
"After TMC, BSP likely to skip opposition meeting on CAA","Jan 13, 2020",Reporter,NATIONAL,NEW DELHI: The Bahujan Samaj Party (BSP) is likely to skip a meeting of opposition parties convened on Monday to discuss the…
"NSG commandos removed off VIP security, to focus on counter-terror","Jan 13, 2020",Reporter,DELHI,"NEW DELHI: Months after downgrading the security of the Gandhis, the Centre has now decided to completely remove NSG commandos…"
Anti-CAA stir: Shaheen Bagh crowd swells on UN team visit rumour,"Jan 13, 2020",Reporter,DELHI,"NEW DELHI: With a UN team's impending visit to Shaheen Bagh making the rounds, crowd at the protest site swelled drastically on…"
Xavi decides against taking Barcelona job immediately,"Jan 13, 2020",Reporter,SPORTS,MADRID: Ernesto Valverde will take Barcelona training on Monday after Xavi told the club he would not be accepting the job of…
"Registration of 300 students blocked due to ‘fake Proctor inquiries’, claims JNUSU","Jan 13, 2020",Reporter,FEATUREDNATIONAL,NEW DELHI: The Jawaharlal Nehru University Students' Union (JNUSU) has alleged that the varsity administration has blocked the…
Woman arrested after Lucknow teenager sustains burn injuries in acid splash,"Jan 12, 2020",Reporter,CRIME,LUCKNOW: A 13-year-old girl sustained 18 per cent burn injuries after acid splashed on her hands and face following a clash…
"On National Youth Day, PM says young energy basis of changing India in 21st century","Jan 12, 2020",Reporter,NATIONAL,"HOWRAH: On the occasion of 'National Youth Day', Prime Minister Narendra Modi on Sunday highlighted the importance of youngsters…"
Death toll in chemical factory fire in Maharashtra reaches seven,"Jan 12, 2020",Reporter,FEATUREDNATIONAL,PALGHAR: The death toll in the chemical factory fire in Palghar has reached seven while the same number of persons have sustained…
CAIT plans protest ahead of Amazon chief Jeff Bezos’ Delhi visit,"Jan 12, 2020",Reporter,BUSINESS,"Chief of global e-commerce giant Amazon, Jeff Bezos, who is scheduled to attend his firm’s first Small and Medium Business (SMB)…"
FAA-EASA to test Boeing 737 Max from January 15; India to take a call later,"Jan 12, 2020",Reporter,BUSINESS,"NEW DELHI: As Boeing 737Max recertification process enters the last phase, the civil aviation regulators of the US and Europe have…"
New Indian Challenger Bookings Open,"Jan 12, 2020",Reporter,AUTOMOTIVE,"American motorcycle manufacturer, Indian Motorcycle, has officially opened booking for the 2020 Challenger motorcycle. The company…"
Honda Africa Twin CRF 1100L Launch Confirmed For April,"Jan 12, 2020",Reporter,AUTOMOTIVE,Honda Motorcycle & Scooter India ha announced that they will launch the all-new Honda Africa Twin CRF 1100L this April.…
5 Android Apps Help You Keep Up Your New Year Resolutions,"Jan 12, 2020",Reporter,TECHNOLOGY,"During the New Year, we all have our new year resolutions. Be it anything, from staying fit to eating healthy, we do a lot but to…"
"Top Postpaid Plans By Under Rs. 1,000","Jan 12, 2020",Reporter,TECHNOLOGY,"Telecom players have recently increased prices of a tariff of their prepaid plans, and now they are looking at their postpaid…"
"Causes, Symptoms of Anal Cancer","Jan 12, 2020",Reporter,LIFESTYLE,Anal cancer is a rare type of cancer that affects 1 in 500 people. It is much less common than colon or rectum cancer. According…
Sarileru Neekevvaru Worldwide Box Office Collections Day 1: Excellent Opening For Mahesh Babu’s Film,"Jan 12, 2020",Reporter,ENTERTAINMENT,"Telugu audiences have been waiting with bated breath for the Mahesh Babu starrer, Sarileru Neekevvaru. The super hyped movie…"
Darbar Box Office Day 3 Worldwide Collection Report,"Jan 12, 2020",Reporter,ENTERTAINMENT,"AR Murugadoss' latest release, Darbar starring superstar Rajinikanth is having an excellent run at the box office. While the film…"
Sporting boss refuses to deny Fernandes has United agreement,"Jan 12, 2020",Reporter,SPORTS,"Lisbon, January 12: Sporting CP head coach Silas refused to deny whether an agreement is in place for Bruno Fernandes to leave the…"
Mourinho dismisses transfer speculation after Spurs lose to Liverpool,"Jan 12, 2020",Reporter,SPORTS,"London, January 12: Tottenham head coach Jose Mourinho dismissed transfer speculation amid rumours over Gedson Fernandes and…"
Alex Carey keen to emulate MS Dhoni in winning close games,"Jan 12, 2020",Reporter,SPORTS,"Mumbai, January 11: Wicket-keeper batsman Alex Carey wants to perfect the art of taking the games deep and finishing them off for…"
FAA-EASA to test Boeing 737 Max from January 15; India to take a call later,"Jan 12, 2020",Reporter,BUSINESS,"NEW DELHI: As Boeing 737Max recertification process enters the last phase, the civil aviation regulators of the US and Europe have…"
Tortoise who saved his species set to return to Galapagos,"Jan 12, 2020",Reporter,WORLD,"NEW DELHI: At a time when many humans are striving towards saving the flora and fauna on the planet, 100-year-old Diego too has…"
Did not receive invite from Indian government to visit J&K: Russian envoy,"Jan 12, 2020",Reporter,WORLD,NEW DELHI: Russian Envoy to India Nikolay Kudashev has said he did not receive an invitation from the Indian government to be part…
"US expresses concern over detention of political leaders, internet restrictions in Kashmir","Jan 12, 2020",Reporter,WORLD,WASHINGTON: The US State Department on Saturday expressed concern over the continued detention of political leaders and…
"Arundhati Roy visit Jamia, donates books to students","Jan 12, 2020",Reporter,DELHI,NEW DELHI: Author Arundhati Roy on Saturday visited the Jamia Millia Islamia here and donated books to the open library being run…
Air India cancels 4 Dubai-bound flights,"Jan 12, 2020",Reporter,OTHER STATES,MUMBAI: Flag carrier Air India on Saturday cancelled four of its flights to Dubai following the waterlogging at Dubai airport in…
CJI SA Bobde favours pre-litigation mediation to avoid delay in justice,"Jan 12, 2020",Reporter,OTHER STATES,"BENGALURU: As justice delayed is justice denied, Chief Justice of India (CJI) SA Bobde on Saturday favoured pre-litigation…"
"JNU visit in country’s interest or to divide it, Union Minister Giriraj Singh asks Deepika…","Jan 12, 2020",Reporter,NATIONAL,SAMBALPUR: Union Minister Giriraj Singh on Saturday questioned the support extended by actor Deepika Padukone to students of…
People opposing Deepika Padukone’s ‘Chhapaak’ are ‘Hitler’ supporters:…,"Jan 12, 2020",Reporter,NATIONAL,RAIPUR: Chhattisgarh Chief Minister Bhupesh Baghel on Saturday said that people opposing Deepika Padukone-starrer Chhapaak are…
"Tukde-tukde gang includes Rahul Gandhi, Arvind Kejriwal: Union Minister Giriraj Singh","Jan 12, 2020",Reporter,NATIONAL,"SAMBALPUR: Union Minister Giriraj Singh on Saturday alleged that the Jawaharlal Nehru has become a hub of 'tukde-tukde' gang,…"
"Antrix eyes Rs 2,000 crore revenue in coming fiscal","Jan 12, 2020",Reporter,OTHER STATES,"BENGALURU: Setting its sights high, Antrix Corporation, the commercial arm of Indian Space Research Organisation (ISRO), hopes to…"
"Ramakrishna Mission inspired PM Modi, me: MoS Home G Kishan Reddy","Jan 12, 2020",Reporter,FEATUREDNATIONAL,HYDERABAD: Union Minister of State for Home Affairs G Kishan Reddy has revealed that Prime Minister Narendra Modi and him have…
Water-related crime doubles as drought hits many Indian states,"Jan 12, 2020",Reporter,DELHI,NEW DELHI: The increasing water crisis in the country and the resulting disputes arising out of it are reflected in the latest…
"NCRB data shows soraing crime rate in UP, but cops site population as excuse","Jan 12, 2020",Reporter,OTHER STATES,LUCKNOW: The annual report of the National Crime Records Bureau (NCRB) has painted a frightening picture of crime in Uttar…
"Amid row around ‘Hum dekhenge’ poem, demand soars for books on Faiz Ahmad Faiz in UP","Jan 12, 2020",Reporter,FEATUREDOTHER STATES,LUCKNOW: The controversy over renowned Pakistani poet Faiz Ahmad Faiz's iconic poem 'Hum dekhenge' may have caused an upheaval in…
Prepared to deal with challenges along northern border: Army chief,"Jan 11, 2020",Reporter,DELHI,"NEW DELHI: Army Chief Gen M M Naravane on Saturday termed the creation of the post of Chief of Defence Staff a ""very big step""…"
Opposition’s falsehood on CAA created anarchy in country: Home Minister Amit Shah,"Jan 11, 2020",Reporter,FEATUREDNATIONAL,"GANDHINAGAR: Union Home Minister Amit Shah on Saturday alleged that the ""falsehood"" spread by the Opposition on the Citizenship…"
"‘Punish the guilty, pay and apologise’: Ukraine reacts after Iran’s admission on…","Jan 11, 2020",Reporter,FEATUREDNATIONAL,"KIEV: President Volodymyr Zelensky demanded Saturday that Iran punish those responsible for the downing of a Ukrainian airliner,…"
Lamborghini Inaugurates New Dealership At Bangalore,"Jan 11, 2020",Reporter,AUTOMOTIVE,"Italian super car manufacturer, Lamborghini has just opened a new showroom at Lavelle Road in Bangalore. Spanning 4,370 square…"
Honda Provides Motorcycles To Karnataka Police For Road Safety Program,"Jan 11, 2020",Reporter,AUTOMOTIVE,Honda Motorcycle & Scooter India Private Limited has flagged off a road safety program in Karnataka. The program is being…
Xbox Series X To Ditch Exclusive Games At Launch,"Jan 11, 2020",Reporter,TECHNOLOGY,Microsoft is all set to launch its next-generation console - the Xbox Series X soon. It has been reported that the console will…
Xiaomi Launches Transparent Speaker,"Jan 11, 2020",Reporter,TECHNOLOGY,"Xiaomi has been very aggressive ever since it started its operations. Now, the company is launching its products on a daily basis.…"
Home Remedies For Sore Throat,"Jan 11, 2020",Reporter,LIFESTYLE,"A sore throat is quite a common occurrence, and all of us have been affected by it at some point. The painful irritation is more…"
Sarileru Neekevvaru Full Movie Leaked Online To Download In HD,"Jan 11, 2020",Reporter,ENTERTAINMENT,"Mahesh Babu's much awaited release, Sarileru Neekevvaru, has finally hit the theatres and fans are going gaga over the actor's…"
Shahid Kapoor Injured By A Cricket Ball On Jersey Sets,"Jan 11, 2020",Reporter,ENTERTAINMENT,"After starring in Kabir Singh, the Hindi remake of Vijay Deverakonda's Arjun Reddy, Shahid Kapoor is all set to star in one more…"
Sheffield United 1-0 West Ham: VAR denies Hammers as Wilder celebrates new contract with a win,"Jan 11, 2020",Reporter,SPORTS,"London, January 11: Chris Wilder celebrated signing a new contract as his Sheffield United side beat West Ham 1-0 - with Robert…"
"Manchester United won’t make panic buys, vows Solskjaer","Jan 11, 2020",Reporter,SPORTS,MANCHESTER: Ole Gunnar Solskjaer insists Manchester United will not look for short-term solutions in the January transfer window…
India’s factory output out of negative territory at last,"Jan 11, 2020",Reporter,BUSINESS,"NEW DELHI: India’s factory production recovered marginally in November, after three straight months of contraction in a row, with…"
Worst auto sales dip in two decades in 2019: SIAM,"Jan 11, 2020",Reporter,BUSINESS,"NEW DELHI: Despite a host of year-end discounts on passenger vehicles (PVs), its sales declined 1.2 per cent to 235,786 units in…"
"Canadian company offers free coffee to British Royals, faces flak","Jan 11, 2020",Reporter,WORLD,NEW DELHI: A Canadian coffee chain is facing an online backlash from Tweeple as it offered free coffee for life if they (British…
Boeing executives called DGCA ‘fools’ during 737Max’s approval in 2017: Documents,"Jan 11, 2020",Reporter,WORLD,"NEW DELHI: During the approval process for 737Max planes in India in 2017, Boeing executives used terms such as ""fools"" and…"
Did Queen hint at Harry-Meghan’s exit in Christmas message?,"Jan 11, 2020",Reporter,WORLD,NEW DELHI: A photo of the British Queen 's Christmas message shared by the royal family is doing rounds on the social media that…
Police speaking language of JNU VC: JNUSU,"Jan 11, 2020",Reporter,DELHI,NEW DELHI: The Jawaharlal Nehru University Students' Union (JNUSU) on Friday accused the Delhi Police of speaking the language of…
20 feared dead as bus catches fire in UP’s Kannauj,"Jan 11, 2020",Reporter,NATIONAL,KANNAUJ: As many as twenty people are feared dead after a double-decker bus carrying at least 45 passengers collided with a truck…
"Economy in bad shape, ‘tax terrorism’ should be curbed: Subramanian Swamy","Jan 11, 2020",Reporter,NATIONAL,"AHMEDABAD: The BJP's Rajya Sabha MP Subramanian Swamy said on Friday that the country's economy was in ""dire times"", and ""tax…"
Kashmiri Hindus in camp remind envoys of Islamic terror,"Jan 11, 2020",Reporter,NATIONAL,JAMMU: Foreign diplomats visiting the Union Territory of Jammu & Kashmir were on Friday reminded of the impact of Islamic…
"Uttarakhand forest staff complains of lack in arms, ammunition","Jan 11, 2020",Reporter,NATIONAL,"DEHRADUN: After Uttarakhand state forest department ordered self-defence training for female employees of the department, many…"
Ram Janmabhoomi Nyas chief’s security heightened ahead of Ayodhya temple trust,"Jan 11, 2020",Reporter,OTHER STATES,"LUCKNOW:  Ahead of the constitution of trust for the construction of Ram temple in Ayodhya, the security of Mahant Nrityagopal…"
Mid-day meal in madrasas among BJP’s wishlist to Nirmala Sitharaman,"Jan 11, 2020",Reporter,BUSINESS,NEW DELHI: Finance Minister Nirmala Sitharaman received an unusual suggestion from the BJP - to consider making budgetary…
"PM Modi, Mamata Banerjee might share the stage in November","Jan 11, 2020",Reporter,FEATUREDOTHER STATES,KOLKATA:  Kolkata Port Trust (KPT) will invite Prime Minister Narendra Modi and Chief Minister Mamata Banerjee on its 150th-year…
Section 144 not for suppressing people’s right: Supreme Court,"Jan 11, 2020",Reporter,DELHI,NEW DELHI: Emphasising that excess usage of Section 144 of the Code of Criminal Procedure (CrPC) would result in severe…
‘No immediate relief but implications for future’,"Jan 11, 2020",Reporter,DELHIFEATURED,"NEW DELHI: The Supreme Court directed the Centre to review its order on communication restrictions in J&K, saying any…"
"India beats Sri Lanka by 78 runs in third T20I, seal series 2-0","Jan 11, 2020",Reporter,SPORTS,PUNE: India beat Sri Lanka by 78 runs in the third and final T20I at the Maharashtra Cricket Association Stadium here on Friday to…
Gauri Lankesh murder case: Mastermind Hrishikesh Devdikar has roots in Maharashtra’s…,"Jan 11, 2020",Reporter,NATIONAL,"AURANGABAD: The alleged mastermind of Bengaluru-based journalist Gauri Lankesh' killing, Hrishikesh Devdikar - who was arrested…"
"No fear, jail will be a new experience: JNUSU president Aishe Ghosh","Jan 11, 2020",Reporter,DELHIFEATURED,"NEW DELHI: Minutes, after she was named as a suspect by the Delhi Police for the violence that broke out at the Jawaharlal Nehru…"
PM Modi’s budget consultations reserved only for crony capitalist friends: Rahul Gandhi,"Jan 10, 2020",Reporter,DELHI,"NEW DELHI: Congress leader Rahul Gandhi on Friday took a swipe at Prime Minister Narendra Modi, saying his ""extensive"" budget…"
"State won’t be recognised for mafias, Vyapam scam: Madhya Pradesh CM Kamal Nath","Jan 10, 2020",Reporter,FEATUREDNATIONAL,BHOPAL: Madhya Pradesh Chief Minister Kamal Nath is working on preparing the roadmap for the development of the state for the next…
US House votes to curb Trump’s power to take military action against Iran,"Jan 10, 2020",Reporter,FEATUREDWORLD,WASHINGTON: US lawmakers concerned about rushing to war with Iran adopted a measure Thursday aimed at reining in President Donald…
2020 Range Rover Evoque India Launch Date Confirmed,"Jan 10, 2020",Reporter,AUTOMOTIVE,Land Rover India is all set to introduce the second-generation Evoque SUV in the market. The all-new Range Rover Evoque will go on…
Ather 450X Limited Edition Launching In 10 Cities,"Jan 10, 2020",Reporter,AUTOMOTIVE,"Bangalore based Ather Energy is getting ready to launch their Limitied Edition, all-new product for the Indian market - the Ather…"
"Panasonic’s VR Glasses Pack HDR Support, Sleek Design","Jan 10, 2020",Reporter,TECHNOLOGY,"As expected, 2020 will see new developments in VR and AR headsets. For all we know, Panasonic might be leading the way. The…"
Vivo V1950A Spotted On TENAA Listing With Snapdragon 865 And Dual-Mode 5G Support,"Jan 10, 2020",Reporter,TECHNOLOGY,Vivo is expected to launch a new smartphone soon in China and the alleged Vivo 1950A phone has also passed several certifications…
Health Benefits Of Banana Tea,"Jan 10, 2020",Reporter,LIFESTYLE,"Bananas are one of those fruits that are widely eaten for its nutritional benefits, but it also draws flak at the same time for…"
Chhapaak Full Movie Gets Leaked Online To Download In HD Print,"Jan 10, 2020",Reporter,ENTERTAINMENT,"Ever since Deepika Padukone has paid a visit to Jawaharlal Nehru University (JNU), her latest release, Chhapaak, has become a talk…"
"Ek Villain 2: Aditya Roy Kapur & John Abraham Both Play Villains & Not Heroes, Confirms…","Jan 10, 2020",Reporter,ENTERTAINMENT,Mohit Suri's Malang is yet to hit the big screens but the filmmaker has already begun work on his next project which will be a…
Hero I-League 2019-20: Chennai City FC win roller coaster southern clash,"Jan 10, 2020",Reporter,SPORTS,"Kozhikode, January 10: Defending champions Chennai City FC got the better of Gokulam Kerala 3-2 in an entertaining southern derby…"
